# expression = lambda x: x*x +x + 1
-1.0	1.0
-0.96	0.9616
-0.92	0.9264
-0.88	0.8944
-0.84	0.8656
-0.8	0.84
-0.76	0.8176
-0.72	0.7984
-0.68	0.7824
-0.64	0.7696
-0.6	0.76
-0.56	0.7536
-0.52	0.7504
-0.48	0.7504
-0.44	0.7536
-0.4	0.76
-0.36	0.7696
-0.32	0.7824
-0.28	0.7984
-0.24	0.8176
-0.2	0.84
-0.16	0.8656
-0.12	0.8944
-0.08	0.9264
-0.04	0.9616
0.0	1.0
0.04	1.0416
0.08	1.0864
0.12	1.1344
0.16	1.1856
0.2	1.24
0.24	1.2976
0.28	1.3584
0.32	1.4224
0.36	1.4896
0.4	1.56
0.44	1.6336
0.48	1.7104
0.52	1.7904
0.56	1.8736
0.6	1.96
0.64	2.0496
0.68	2.1424
0.72	2.2384
0.76	2.3376
0.8	2.44
0.84	2.5456
0.88	2.6544
0.92	2.7664
0.96	2.8816
1.0	3.0
